,Hotels,Prices,Descriptions,Full_Descriptions
0,Hotel Alimara,"€ 1,011",1 single bed,"You're eligible for a Genius discount at Hotel Alimara! To save at this property, all you have to do is sign in.
Hotel Alimara is a modern hotel located in Barcelona’s Horta district. It has a central garden, several meeting rooms, rooms with flat-screen TVs, and a fitness centre.

All rooms at the Alimara Hotel have both air conditioning and heating. They all have a private bathroom with hairdryer.

The Alimara’s restaurant serves Mediterranean food with a modern twist and there are children’s menus available. The hotel bar, SUMMUM, features a terrace and serves food, drinks and snacks.

The hotel is located 1 minutes' walk from Mundet Metro Station, and it is a 12-minute journey into central Barcelona. Gaudí’s iconic Parc Güell is 4 Metro stops away from Mundet."
1,DO Plaça Reial powered by Sonder,"€ 2,659",1 large double bed,"You're eligible for a Genius discount at DO Plaça Reial powered by Sonder! To save at this property, all you have to do is sign in.
Set on Plaza Reial and just off Las Ramblas, DO Plaça Reial powered by Sonder features a spa, a rooftop pool and stylish rooms. Bars and cafés can be found in the square and in the surrounding Gothic Quarter.

Each spacious, air-conditioned room offers a free Wi-Fi, a flat-screen TV and a free minibar.

In the mornings, the DO Plaça Reial offers a paid breakfast. Creative Mediterranean cuisine and tapas dishes are also served in the restaurant.

The hotel spa features a sauna.

The famous Boquería Market is just 5-minute walk away. Barcelona Cathedral, Liceu Metro and Plaza Catalunya are within 1 km of the hotel."
2,SM Hotel Teatre Auditori,"€ 1,278",Beds: 1 double or 2 singles,"SM Hotel Teatre Auditori is located opposite the Catalan National Theatre, close to Glòries and Monumental Metro Stations. This stylish hotel features rooms with satellite TV.

The Auditori has bright, attractive décor. Each air-conditioned room has a desk and a safety deposit box.

Breakfast is served in the hotel café.

Staff at the 24-hour reception can provide information on Barcelona’s attractions, as well as arrange bicycle and car rental.

Gaudí’s Sagrada Familia is just 15 minutes’ walk from the hotel, while Glòries Metro is just 4 stops from Plaza de Catalunya and Las Ramblas."
3,Unite Hostel Barcelona,"€ 2,048",Multiple bed types,"Set in Barcelona, 400 metres from Nova Icaria, Unite Hostel Barcelona offers accommodation with a restaurant, private parking, a bar and a shared lounge. Among the facilities at this property are a 24-hour front desk and a shared kitchen, along with free WiFi throughout the property. The hostel features family rooms.

At the hostel, all rooms are fitted with air conditioning and a private bathroom.

The accommodation offers a terrace.

Popular points of interest near Unite Hostel Barcelona include Somorrostro, Bogatell and Port Olimpic. The nearest airport is Barcelona El Prat Airport, 18 km from the hostel."
4,Hotel Lloret Ramblas,"€ 1,345",1 double bed,"Hotel Lloret Ramblas is situated on Barcelona’s famous Las Ramblas, just outside Plaza Catalunya Square. It offers a 24-hour reception and air-conditioned rooms with flat-screen satellite TV and free Wi-Fi.

Each functional room at the Lloret Ramblas Hotel features a work desk and a private bathroom with amenities. Some rooms also have a private balcony.

Breakfast is served in Hotel Lloret Ramblas’s beautiful lounge-dining room, which dates from the early 20th century. The reception area has a free PC with internet and a free safe.

Barcelona Cathedral and the MACBA Modern Art Museum are both around 500 metres from Hotel Lloret. Catalunya Metro Station is a 1-minute walk away, and direct airport buses stop within 100 metres."
5,The Streets Apartments Rambla,"€ 2,035",1 large double bed,"You're eligible for a Genius discount at The Streets Apartments Rambla! To save at this property, all you have to do is sign in.
The Streets Apartments Rambla provides accommodation within less than 1 km of the centre of Barcelona, with free WiFi, and a kitchen with a dishwasher, a microwave and a toaster. Featuring a lift, this property also provides guests with a sun terrace. When staying at the apartment, guests can use private entrance.

At the apartment complex, all units have a desk, a flat-screen TV, a private bathroom, bed linen and towels. All units are air conditioned and include a seating and/or dining area. The units include a wardrobe.

Sightseeing tours are available near the property.

Popular points of interest near The Streets Apartments Rambla include Sant Sebastian Beach, Sant Miquel Beach and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 14 km from the accommodation."
6,Sallés Hotel Pere IV,"€ 1,939",Multiple bed types,"You're eligible for a Genius discount at Sallés Hotel Pere IV! To save at this property, all you have to do is sign in.
Pere IV is situated in the Poble Nou District, 10 minutes’ walk from the lively Port Olimpic area and Barcelona's beaches. This hotel features a free spa, free Wi-Fi and 24-hour reception.

Each of the spacious rooms comes with a minibar, and a flat-screen TV with satellite channels.

The à la carte Garum Restaurant offers Mediterranean cuisine. The hotel serves a daily, buffet breakfast.

Guests enjoy free access to the Pere IV's spa, which includes a Finnish sauna, a hammam, indoor pool and sensation showers.

The Pere IV is a short walk from the beach and the new marina. Nearby Bogatell Metro Station offers easy access to the beach and the city centre, which can both be reached within 15 minutes."
7,Aparthotel Napols - Abapart,"€ 1,791",1 double bed,"You're eligible for a Genius discount at Aparthotel Napols - Abapart! To save at this property, all you have to do is sign in.
Aparthotel Napols is centrally located, 350 metres from Barcelona’s Arc de Triomf Metro Station. Air-conditioned rooms feature a well-equipped kitchen, and a living room with sofa and TV.

Estació de Nord Bus Station is 5 minutes’ walk away, and has direct connections to Girona Airport. You can walk to Plaza Catalunya and the Rambla in 15 minutes. There is free WiFi in the apartments.

Soundproofed rooms at the Napols have a safe and minibar. The private bathroom comes with amenities.

The modern kitchen has a fridge, microwave and coffee maker. There is a dishwasher and dining area.

The complex has a 24-hour reception and a shared terrace. You can hire a car, and Napols offers a laundry service and luggage storage."
8,Apartamentos DV,"€ 1,220",1 large double bed,"You're eligible for a Genius discount at Apartamentos DV! To save at this property, all you have to do is sign in.
Featuring free WiFi and air conditioning, Apartamentos DV is located in Barcelona, 800 metres from Camp Nou. Palau Sant Jordi is 2.8 km from the property. Free private parking is available on site.

Offering views over a patio, each apartment comes with a flat-screen TV and a fully equipped kitchen including a microwave, kettle and kitchenware. Apartments come with a bathroom with a double ended bath and hairdryer is available on prior request. Apartments are cleaned every day and bed linen and towels are provided. Superior apartments have a spa bath.

Plenty of restaurants, bars and shops are within 5 minutes' walk.

Montjuïc is 2.9 km from Apartamentos DV, while Casa Batllo is 3.9 km away. The nearest airport is Barcelona El Prat Airport, 9 km from the property."
9,Hotel Concordia Barcelona,"€ 1,607",1 double bed,"Hotel Concordia Barcelona is situated 800 metres from Plaza España and the Fira de Barcelona Exhibition Centre. It features a sun terrace with an outdoor swimming pool, hot tub, cocktail bar and solarium.

The Hotel Concordia Barcelona’s bright, spacious rooms feature contemporary décor and air conditioning.  Each room includes free WiFi, a flat-screen TV, safe, minibar and a private bathroom with a range of amenities.

The Concordia Barcelona’s modern, elegant  Bistro Triple Sec Restaurant serves typical Mediterranean cuisine. The varied breakfast buffet includes healthy options. There is also a café and cocktail bar open daily. Private parking is available on site for an extra cost and electrical cars charging station is available.

Located next to Poble Sec Station, the hotel is a 5-minute Metro journey from Barcelona Port and La Rambla. You can also walk to the Rambla in 15 minutes. Direct airport buses stop in Plaza España, a 15-minute walk away.

Private parking is available on site for an extra cost."
10,Hotel Nouvel,"€ 1,509",Beds: 1 double or 2 singles,"Offering air-conditioned rooms, free WiFi and an on-site restaurant, Hotel Nouvel is located on a pedestrianised street just 100 metres from Barcelona’s Plaza Catalunya Square and the Ramblas.

The hotel features ornate ceilings, cast bronze and crystal lamps, and marble floors, in the style of its 19th-century building.

All rooms come with a flat-screen TV, double-glazed windows and a private bathroom with a bath or shower and a hairdryer. A safe is available to rent.

The hotel’s La Lluna Restaurant serves Mediterranean cuisine. Vending machines with snacks, ice, and drinks, are also available.

Staff at the 24-hour reception can help you arrange car hire, a laundry service and tickets for shows. You will also find luggage storage and a reading room with two computers.

Portal de Angel shopping street is just 2 minutes’ walk away, while Barcelona Cathedral and the Gothic Quarter are a 10-minute walk from Hotel Nouvel."
11,Catalonia Rigoletto,"€ 1,214",Beds: 1 double or 2 singles,"The stylish Catalonia Rigoletto is set 500 metres from FC Barça’s Camp Nou stadium and 5 minutes’ walk from Maria Cristina Metro Station. It offers an outdoor pool and rooms with free WiFi and flat-screen TVs.

The Rigoletto’s spacious rooms are air conditioned and decorated with dark woods and luxurious fabrics. All rooms have satellite TV, free smartphone, a minibar and safety deposit box.

A buffet breakfast is on offer in the dining room and Mediterranean cuisine is served in the stylish La Traviata restaurant. There is also a bar in the hotel featuring attractive art work.

Sights including Las Ramblas and Gaudí’s Casa Batlló can be reached in 15 minutes, by Metro. Sants Railway Station, where there is an airport train connection, is just 1.5 km from the Rigoletto."
